               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.034058,            0.017132,            0.062267,             0.25935,             0.41077,             0.33058,             0.18619,            0.024729,           0.0054211,            0.045814,            0.009365,            0.009365,            0.009365
                 102,            0.033486,            0.016716,            0.062178,             0.25905,             0.37318,             0.30308,              0.1612,            0.024362,           0.0051182,            0.039494,           0.0093526,           0.0093526,           0.0093526
                 103,            0.034307,             0.01691,             0.06183,             0.20062,             0.58745,             0.36895,             0.20363,            0.025299,           0.0050751,            0.044342,           0.0093401,           0.0093401,           0.0093401
                 104,            0.032997,            0.017025,            0.060843,             0.24297,             0.46029,              0.3122,             0.17439,             0.02289,           0.0051762,            0.042618,           0.0093275,           0.0093275,           0.0093275
                 105,            0.033535,             0.01655,            0.059098,             0.31643,             0.39626,             0.34509,             0.18749,            0.024956,           0.0054808,            0.049297,           0.0093147,           0.0093147,           0.0093147
                 106,            0.035812,             0.01687,            0.060734,             0.27444,             0.45151,             0.34872,             0.18354,            0.024854,           0.0052648,            0.042447,           0.0093019,           0.0093019,           0.0093019
                 107,            0.033977,            0.017046,            0.062706,             0.21244,              0.5242,             0.34416,             0.17582,            0.024569,           0.0053642,            0.040287,           0.0092889,           0.0092889,           0.0092889
                 108,            0.034667,            0.016595,            0.059805,             0.27646,             0.45595,             0.33136,             0.17141,            0.025924,           0.0053998,            0.043412,           0.0092759,           0.0092759,           0.0092759
                 109,            0.033003,            0.017195,            0.059282,             0.30163,             0.44445,             0.33183,             0.18609,            0.023754,           0.0056264,            0.042032,           0.0092627,           0.0092627,           0.0092627
                 110,            0.033301,            0.016608,            0.059152,             0.29583,             0.36194,             0.31458,             0.17714,            0.024393,           0.0053465,            0.044453,           0.0092494,           0.0092494,           0.0092494
                 111,            0.033192,            0.016669,            0.059514,             0.29783,             0.37188,             0.33785,             0.18027,            0.023591,           0.0050494,            0.040505,           0.0092361,           0.0092361,           0.0092361
                 112,            0.032564,            0.016935,            0.056875,             0.23391,             0.45202,             0.35281,             0.18452,            0.023662,           0.0051878,            0.041301,           0.0092226,           0.0092226,           0.0092226
                 113,            0.033753,            0.016901,            0.057004,             0.25631,              0.4349,             0.34724,             0.19184,            0.021456,           0.0057026,            0.038054,            0.009209,            0.009209,            0.009209
                 114,            0.033137,            0.016677,            0.059328,             0.22589,             0.45574,             0.33592,             0.17956,            0.024897,           0.0050949,            0.050027,           0.0091953,           0.0091953,           0.0091953
                 115,            0.033682,             0.01671,            0.060014,             0.33735,             0.39899,             0.35965,             0.19254,            0.023402,           0.0053351,            0.038971,           0.0091815,           0.0091815,           0.0091815
                 116,            0.032223,            0.016522,            0.056354,             0.28595,             0.36454,             0.35033,             0.17935,            0.023835,           0.0052108,              0.0409,           0.0091676,           0.0091676,           0.0091676
                 117,            0.034452,             0.01694,            0.057236,             0.24847,              0.4506,             0.35242,             0.19021,            0.025404,           0.0053149,             0.04305,           0.0091536,           0.0091536,           0.0091536
                 118,            0.034048,            0.016543,            0.056637,             0.21759,             0.50017,             0.34334,             0.19694,            0.023164,             0.00549,            0.043724,           0.0091395,           0.0091395,           0.0091395
                 119,            0.032521,            0.016815,            0.059001,             0.39541,             0.36665,             0.36245,             0.19322,            0.022776,           0.0050685,            0.042872,           0.0091253,           0.0091253,           0.0091253
                 120,            0.033924,            0.016667,            0.057614,             0.31761,             0.40256,             0.40062,             0.21866,            0.022718,           0.0051158,            0.041273,            0.009111,            0.009111,            0.009111
                 121,            0.034256,            0.017182,            0.057529,               0.304,             0.43124,             0.38723,             0.21306,            0.022951,           0.0051406,            0.043207,           0.0090966,           0.0090966,           0.0090966
                 122,            0.033972,            0.016745,            0.056778,             0.28962,             0.46242,             0.37446,             0.22121,            0.024606,           0.0049763,            0.046314,           0.0090821,           0.0090821,           0.0090821
                 123,            0.033061,            0.016618,            0.057342,             0.34889,             0.38262,             0.34136,             0.17651,            0.024553,           0.0054742,            0.039536,           0.0090674,           0.0090674,           0.0090674
                 124,            0.033705,            0.016478,            0.058582,             0.28204,             0.43345,             0.35355,             0.17701,            0.023076,           0.0052598,            0.043352,           0.0090527,           0.0090527,           0.0090527
                 125,            0.033533,            0.016839,            0.055277,             0.37036,             0.35435,             0.36567,             0.19339,            0.024599,           0.0051836,             0.03996,           0.0090379,           0.0090379,           0.0090379
                 126,             0.03328,            0.016207,            0.054231,             0.40363,             0.34589,             0.36093,             0.18488,            0.023964,           0.0051655,            0.039514,            0.009023,            0.009023,            0.009023
                 127,            0.033052,            0.016714,            0.056181,             0.54992,             0.31839,             0.38391,             0.20775,             0.02309,           0.0052435,             0.04448,            0.009008,            0.009008,            0.009008
                 128,            0.033726,            0.016149,            0.055185,             0.35819,             0.37404,             0.37794,             0.21236,            0.023693,           0.0052809,            0.040806,           0.0089929,           0.0089929,           0.0089929
                 129,            0.034163,            0.016598,            0.056384,             0.31065,             0.39462,             0.35587,             0.18309,            0.024175,           0.0053621,            0.046485,           0.0089777,           0.0089777,           0.0089777
                 130,            0.033359,            0.016773,            0.055773,             0.37275,             0.40566,             0.36945,              0.2014,            0.022766,           0.0051862,            0.038743,           0.0089624,           0.0089624,           0.0089624
                 131,            0.032571,            0.016627,            0.053975,             0.55843,             0.32809,             0.39243,             0.21598,            0.024375,           0.0050708,            0.039725,            0.008947,            0.008947,            0.008947
                 132,            0.034033,             0.01651,            0.056531,             0.31427,             0.46085,             0.39349,             0.21618,            0.025405,           0.0049671,            0.036406,           0.0089315,           0.0089315,           0.0089315
                 133,            0.033408,            0.016391,            0.053466,             0.50039,             0.34157,             0.41757,             0.22291,            0.024568,           0.0052157,            0.039152,           0.0089159,           0.0089159,           0.0089159
                 134,            0.033734,            0.016375,            0.053871,             0.23371,             0.54558,             0.38539,             0.21439,            0.024411,           0.0051213,            0.038524,           0.0089002,           0.0089002,           0.0089002
                 135,            0.034564,            0.016712,            0.057614,             0.33406,             0.41646,             0.40098,             0.21401,            0.023927,           0.0051998,            0.042766,           0.0088844,           0.0088844,           0.0088844
